Civil_Status,Age,Children,Education_Level,Income,Total_Purchase,Wines,Fruits,Meat,Fish,Vegetables,Bread,Purchase_with_discounts,Online_Purchase,Store_Purchase,Web_visit
Single,64,0,Bachelors,58138,1617,635,88,546,172,88,88,3,8,4,7
Divorced_Widowed,67,2,Bachelors,46344,27,11,1,6,2,1,6,2,1,2,5
Married,56,1,Bachelors,71613,776,426,49,127,111,21,42,1,8,10,4
Married,37,2,Bachelors,26646,53,11,4,20,10,3,5,2,2,4,6
Married,40,2,Postgraduate,58293,422,173,43,118,46,27,15,5,5,6,5
Married,54,2,Postgraduate,62513,716,520,42,98,0,42,14,2,6,10,6
Divorced_Widowed,50,1,Bachelors,55635,590,235,65,164,50,49,27,4,7,7,6
Married,36,2,Postgraduate,33454,169,76,10,56,3,1,23,2,4,4,8
Married,47,2,Postgraduate,30351,46,14,0,24,3,3,2,1,3,2,9
Married,71,3,Postgraduate,5648,49,28,0,6,1,1,13,1,1,0,20
Married,45,1,High School,7500,61,6,16,11,11,1,16,1,2,3,8
Single,62,0,Bachelors,63033,1102,194,61,480,225,112,30,1,3,8,2
Divorced_Widowed,69,2,Postgraduate,59354,310,233,2,53,3,5,14,3,6,5,6
Married,34,1,Bachelors,17323,46,3,14,17,6,1,5,1,1,3,8
Single,75,0,Postgraduate,82800,1315,1006,22,115,59,68,45,1,7,12,3
Married,41,3,Bachelors,41850,96,53,5,19,2,13,4,3,3,3,8
Married,75,1,Bachelors,37760,317,84,5,38,150,12,28,2,4,6,7
Married,72,2,Postgraduate,76995,1782,1012,80,498,0,16,176,2,11,9,5
Divorced_Widowed,36,1,High School,33812,133,4,17,19,30,24,39,2,2,3,6
Married,39,1,Bachelors,37040,316,86,2,73,69,38,48,1,4,5,8
Married,42,2,Bachelors,2447,1730,1,1,1725,1,1,1,15,0,0,1
Married,72,2,Postgraduate,58607,972,867,0,86,0,0,19,3,2,9,8
Married,67,2,Postgraduate,65324,544,384,0,102,21,32,5,3,6,9,4
Married,70,2,Bachelors,40689,444,270,3,27,39,6,99,7,7,5,8
Single,52,0,Bachelors,18589,75,6,4,25,15,12,13,2,2,3,7
Married,45,3,Bachelors,53359,257,173,4,30,3,6,41,4,5,4,7
Married,32,2,Bachelors,38360,131,36,2,42,20,21,10,2,2,4,3
Married,56,1,Postgraduate,84618,1672,684,100,801,21,66,0,1,6,10,2
Single,32,0,Postgraduate,10979,30,8,4,10,2,2,4,2,3,3,5
Married,58,1,Postgraduate,38620,318,112,17,44,34,22,89,1,2,3,3
Married,51,2,Bachelors,40548,120,110,0,5,2,0,3,2,2,4,5
Divorced_Widowed,69,2,Postgraduate,46610,302,96,12,96,33,22,43,6,4,6,6
Married,75,1,Postgraduate,68657,1196,482,34,471,119,68,22,1,3,9,7
Divorced_Widowed,70,2,Postgraduate,49389,65,40,0,19,2,1,3,1,2,3,7
Married,51,2,Postgraduate,67353,913,702,17,151,0,8,35,5,5,12,2
Married,45,2,High School,23718,81,6,3,14,15,7,36,3,3,2,7
Divorced_Widowed,48,1,Bachelors,42429,67,55,0,6,2,0,4,2,1,3,5
Single,78,0,Postgraduate,48948,902,437,8,206,160,49,42,2,7,5,6
Married,41,2,Bachelors,80011,1395,421,76,536,82,178,102,2,8,5,4
Married,36,2,Postgraduate,20559,53,13,1,29,3,0,7,2,2,3,8
Married,64,2,Bachelors,21994,22,9,0,6,3,1,3,1,0,3,5
Married,46,2,Postgraduate,7500,31,3,1,10,3,2,12,3,2,3,5
Single,45,0,Bachelors,79941,984,123,164,266,227,30,174,1,2,9,1
Married,25,1,High School,7500,122,3,18,14,15,22,50,3,3,3,9
